# session_iso_utc=2026-08-22T03:09:45.544477+00:00
t,S_t_hex,bayer_blake3_hex,capture_frame_id,aravis_device_timestamp_ns,capture_wall_ns,emission_live_pixel_blake3_hex,emission_live_queued_wall_ns,meta_hex,emission_png_path,drand_round_number,drand_round_value_hex,drand_signature_hex,drand_staleness_ms
0,74e3a131e1aaadd98e18c5f2a5f28ffaf59b8cd738e10216586efa2a893f384c,e4f3cb614fc1338ca663d7846ea85054605e9b20350e99423603a930ffc47a53,7,7987010743500,88794279840802,94ea977fcc33e904c96915a8f3158e92ccc594ae26b7d1e1ca1ccd1ea3be3db6,88793946703450,00000000000007439ef02ccc000050c207820c220000fa0052473038,derived/Emissions/tile_000000.png,31521605,ed8b01211651c0e95775aec902e4713d8befc617144490884a82829185b885c9,b6986a890c9aee8c7d3d509e2605c480dbf83e5d3c97c1033d1e8220c02869f9422e7a5555389891c59fdd620dffc683,7243
1,3ccfd08342dc368a09b13e65f580fafeebe33b8c6dd8ed78df3c15e6c95f9cba,a8b040c2bdf00f948f176ea93d3b8bb5ad994c0d264cc82aa5b915e885d874c2,14,7987477428750,88794746455729,02760e2c861348e0a0d7dc5fbb07dd96927d97b45ddbbf81bde617f325a99740,88794394938267,0000000100000743bac13a0e000050c2235206b10000fa0052473038,derived/Emissions/tile_000001.png,31521605,ed8b01211651c0e95775aec902e4713d8befc617144490884a82829185b885c9,b6986a890c9aee8c7d3d509e2605c480dbf83e5d3c97c1033d1e8220c02869f9422e7a5555389891c59fdd620dffc683,7710
2,6370b881d12fb860ac61da030f4202fff9987784992db2ad769b3fbe3e861495,5f96aba7f9eb0e54ee74ba75e4cabbccce60170a4e9dd05e7701c89136055228,21,7987944100250,88795213204097,ce5e46ed9e054bae63854f07086ce2dc6ffac4c21702bfe49730f520144e0dc4,88794860038742,0000000200000743d692119a000050c23f240a810000fa0052473038,derived/Emissions/tile_000002.png,31521606,89165d6ae36224bc94ccdd413324554dff012b909d52224f3c43ad666adb8278,8d50a142856fa2379832382e48f5ae48051d41ea99bb7356ddc5d063ad5a304554a39e6fef761803a96168331d18556a,5164
3,abad66f06a32d46bd35ec1194b8979638b8b212a3a73b457b6286f3634bfad29,e483882d8e2759e93a21d170e6af279fbe17efc56f7b69b3be8ca3d4adfa4784,27,7988344100250,88795613261452,e92f4cf36d850edab6d56ed049af246e1379c52cd292dc3064dddf4a0b21f4e7,88795312315676,0000000300000743ee69959a000050c256fc6e8c0000fa0052473038,derived/Emissions/tile_000003.png,31521606,89165d6ae36224bc94ccdd413324554dff012b909d52224f3c43ad666adb8278,8d50a142856fa2379832382e48f5ae48051d41ea99bb7356ddc5d063ad5a304554a39e6fef761803a96168331d18556a,5577
4,cf5ba3cb968f44f976bbb63e0bd08ec7a2be989c23036ae2421589b51f4838ca,5721bebc689869c9b94612447c267812a4d9e78eea604f44a703c4afd44fdf0a,34,7988810785500,88796080144333,d2a0543538b6245b4c722351977fc508f9387a18db913822e377ba4f45e852c0,88795729364075,00000004000007440a3aa2dc000050c272d07fcd0000fa0052473038,derived/Emissions/tile_000004.png,31521606,89165d6ae36224bc94ccdd413324554dff012b909d52224f3c43ad666adb8278,8d50a142856fa2379832382e48f5ae48051d41ea99bb7356ddc5d063ad5a304554a39e6fef761803a96168331d18556a,6044
5,25bb72a15fa1f891507b991740a8b99548a93e5911d3e82334658db237b5c685,eb5564e385fea64a35da5bbf527a540de7702d5d702d90632a60d0272cc718b0,41,7989277456750,88796546478744,c90b64a53ca62cacc96e9ce1ad73e5125e65abac81fe6e314b0bd3c93ee259cb,88796190422923,0000000500000744260b796e000050c28e9c32980000fa0052473038,derived/Emissions/tile_000005.png,31521606,89165d6ae36224bc94ccdd413324554dff012b909d52224f3c43ad666adb8278,8d50a142856fa2379832382e48f5ae48051d41ea99bb7356ddc5d063ad5a304554a39e6fef761803a96168331d18556a,6513
6,274858a76e0a15f0780c8fa59fb730dbddff1f0155aa8f95dc79e993dd47aa05,5ace5b7053dfc1564c0896a3aada0a2e3fd3d294645c776f2a3675c12f6ab64e,48,7989744128250,88797013174845,b82caf1c2cb406d3751b2c7233c7fc74bc8809213d92a3b3d069190dbd7af95b,88796661628538,000000060000074441dc50fa000050c2aa6d6a3d0000fa0052473038,derived/Emissions/tile_000006.png,31521606,89165d6ae36224bc94ccdd413324554dff012b909d52224f3c43ad666adb8278,8d50a142856fa2379832382e48f5ae48051d41ea99bb7356ddc5d063ad5a304554a39e6fef761803a96168331d18556a,6976
7,1e4013fe1469bdb384506c2e8444325a060b4de2ede860bca1e6c18b2195e1e8,4a65aced27abe6cea2d05642bcdd524cda011e9fdf45407630eea162d6b636ec,54,7990144142250,88797413182386,fae6ee798b63b1e08c60dbc98e14db3047b0ae6054390cf60566b1ac54811ba7,88797122124851,000000070000074459b40baa000050c2c2450bb20000fa0052473038,derived/Emissions/tile_000007.png,31521606,89165d6ae36224bc94ccdd413324554dff012b909d52224f3c43ad666adb8278,8d50a142856fa2379832382e48f5ae48051d41ea99bb7356ddc5d063ad5a304554a39e6fef761803a96168331d18556a,7379
8,4fbe743417eaaeb44c06064844c2b5474b88e4056d47e26a58b20f42a967e74f,83afc87bef0787e852eb67e10af800ec713525532ca00e603cfa22a33509e51c,61,7990610813500,88797879848920,9714578e1ac864cfe97ca804ae31d6280e6910b78e9d4a4cd6dde951f344e343,88797526910742,00000008000007447584e23c000050c2de15cfd80000fa0052473038,derived/Emissions/tile_000008.png,31521606,89165d6ae36224bc94ccdd413324554dff012b909d52224f3c43ad666adb8278,8d50a142856fa2379832382e48f5ae48051d41ea99bb7356ddc5d063ad5a304554a39e6fef761803a96168331d18556a,7844
9,13f25ca7b3fc6cb1c64325c2eee854447273dc91fe170a50dc3037b2da15f04d,2a0b7e15011ee404aaa629ff0979d5adefe992cee0ce12271ef5b75a900bfcfb,68,7991077485000,88798346528108,1c287feae5c99745c37ce7e5c404ecafaf704f86f9bb074507867ab356fc5efb,88797990435068,00000009000007449155b9c8000050c2f9e6c56c0000fa0052473038,derived/Emissions/tile_000009.png,31521606,89165d6ae36224bc94ccdd413324554dff012b909d52224f3c43ad666adb8278,8d50a142856fa2379832382e48f5ae48051d41ea99bb7356ddc5d063ad5a304554a39e6fef761803a96168331d18556a,8311
